Time,Pulses,Distance,Speed,AX,AY,AZ,GX,GY,GZ,Roll,
Time,Pulses,Distance,Speed,AX,AY,AZ,GX,GY,GZ,Roll,Actual Roll
8249,1,0.35,0,-204,508,15840,523,800,-2,88.16,1.836886569
8482,2,0.69,0.08,-132,436,15680,519,779,1,88.41,1.592763048
8924,3,1.04,0.04,28,236,15484,511,779,-8,89.13,0.873208283
9148,4,1.39,0.09,4,560,15840,564,786,6,87.98,2.024765082
9481,5,1.74,0.06,-180,224,15556,612,824,-8,89.18,0.824978636
9669,6,2.08,0.1,-172,412,16000,536,787,-9,88.52,1.475040365
10025,7,2.43,0.06,-16,512,15740,556,807,-21,88.14,1.863093963
10299,8,2.78,0.07,-116,480,15692,525,773,-4,88.25,1.752064831
10777,9,3.12,0.04,-148,420,15688,544,809,-2,88.47,1.533559445
10980,10,3.47,0.1,-312,496,15880,579,773,-17,88.21,1.789009476
11245,11,3.82,0.07,-100,500,15824,549,775,-6,88.19,1.809805446
11369,12,4.16,0.16,4,704,15904,479,777,-50,87.47,2.5345771
11592,13,4.51,0.09,124,596,15420,468,832,20,87.79,2.213443257
11728,14,4.86,0.14,-8,748,15932,518,802,-8,87.31,2.688036353
11933,15,5.21,0.1,-20,788,15208,381,789,16,87.03,2.966118763
12037,16,5.55,0.19,-104,412,15504,583,769,11,88.48,1.522207621
12205,17,5.9,0.12,88,384,15372,554,763,19,88.57,1.430978697
12303,18,6.25,0.2,80,-16,15968,558,770,-34,90.06,-0.057410582
12473,19,6.59,0.12,20,420,14992,440,908,-22,88.4,1.604718174
12571,20,6.94,0.2,12,396,15844,533,782,-35,88.57,1.431734786
12729,21,7.29,0.13,-64,184,16292,534,750,-7,89.35,0.647064524
12822,22,7.63,0.21,-240,504,15984,474,739,5,88.19,1.806025298
12978,23,7.98,0.13,-212,272,15120,532,780,-59,88.97,1.030606562
13070,24,8.33,0.22,-124,268,16412,645,736,-13,89.06,0.935529142
13234,25,8.68,0.12,-36,344,15536,647,795,8,88.73,1.268442845
13332,26,9.02,0.2,-20,888,15612,533,824,-16,86.74,3.255437481
13512,27,9.37,0.11,88,776,15796,548,772,18,87.19,2.812472069
13628,28,9.72,0.17,-40,576,15316,535,817,-68,87.85,2.153749237
13805,29,10.06,0.11,-16,452,15864,564,753,-27,88.37,1.63204033
13924,30,10.41,0.17,84,652,15660,477,790,-18,87.62,2.384117831
14108,31,10.76,0.11,-280,520,15896,531,766,-45,88.13,1.873627614
14225,32,11.1,0.17,-100,316,15752,509,811,0,88.85,1.149253308
14382,33,11.45,0.13,-100,304,15576,522,805,-7,88.88,1.118111573
14473,34,11.8,0.22,252,352,15584,445,863,-28,88.71,1.293935165
14608,35,12.15,0.15,32,60,16036,530,858,-54,89.79,0.214375825
14687,36,12.49,0.25,-244,664,16028,557,717,-43,87.63,2.37226451
14811,37,12.84,0.16,-156,-196,16028,531,785,-19,90.7,-0.700612245
14883,38,13.19,0.27,-172,476,14648,567,819,-14,88.14,1.861223188
15008,39,13.53,0.16,148,376,15840,520,760,-3,88.64,1.359795972
15086,40,13.88,0.25,36,52,16288,439,751,-45,89.82,0.182918125
15220,41,14.23,0.15,-44,480,15368,519,796,-44,88.21,1.788979454
15304,42,14.57,0.23,176,544,16284,499,836,-24,88.09,1.913369975
15447,43,14.92,0.14,48,432,15176,497,816,12,88.37,1.630541278
15543,44,15.27,0.21,-220,-52,14864,605,731,14,90.2,-0.200441899
15700,45,15.61,0.12,-768,484,17508,562,886,-24,88.42,1.583510184
15794,46,15.96,0.21,-308,1064,14868,387,853,-25,85.91,4.093284845
15946,47,16.31,0.13,-160,512,15576,389,850,-83,88.12,1.882696471
16031,48,16.66,0.23,-136,656,15356,456,827,-33,87.55,2.446157341
16167,49,17,0.15,12,576,16112,478,739,-16,87.95,2.047437951
16246,50,17.35,0.25,-24,276,15608,449,790,-10,88.99,1.013069398
16380,51,17.7,0.15,96,308,14652,219,862,32,88.8,1.204238429
16455,52,18.04,0.26,152,-648,16856,1048,738,102,92.2,-2.201553819
16587,53,18.39,0.15,204,-208,15416,586,740,-42,90.77,-0.773014987
16664,54,18.74,0.26,-340,412,15620,515,791,-43,88.49,1.510908394
16797,55,19.09,0.15,96,688,15880,645,801,-11,87.52,2.48078463
16875,56,19.43,0.25,-96,684,15652,584,797,-41,87.5,2.502261313
17017,57,19.78,0.14,20,504,15792,557,851,-44,88.17,1.827968244
17105,58,20.13,0.22,-36,-4,15744,390,768,-8,90.01,-0.014556854
17261,59,20.47,0.13,320,628,14592,414,876,-33,87.54,2.464333811
17353,60,20.82,0.21,164,788,15380,463,831,-5,87.07,2.93300585
17527,61,21.17,0.11,28,320,15196,436,819,0,88.79,1.20636615
17635,62,21.51,0.18,-32,460,16440,535,750,-8,88.4,1.602748398
17814,63,21.86,0.11,24,700,15452,431,823,-41,87.41,2.593815885
17908,64,22.21,0.21,72,488,15516,414,812,-28,88.2,1.801438934
18065,65,22.55,0.13,284,1192,14756,480,894,-2,85.38,4.618364816
18154,66,22.9,0.22,-16,124,15396,388,860,-39,89.54,0.461452523
18301,67,23.25,0.13,52,108,15396,619,833,-74,89.6,0.40191236
18397,68,23.6,0.21,28,728,15832,489,805,-60,87.37,2.632766947
18538,69,23.94,0.14,-152,532,15380,605,779,-27,88.02,1.98109275
18635,70,24.29,0.2,264,136,15420,615,845,-35,89.49,0.505319324
18770,71,24.64,0.15,-88,276,13884,332,889,-55,88.86,1.138832656
18860,72,24.98,0.22,-72,952,16044,395,803,-4,86.6,3.395767965
18992,73,25.33,0.15,64,280,15948,626,774,-17,88.99,1.005842122
19078,74,25.68,0.23,-60,544,16088,625,757,14,88.06,1.936662905
19214,75,26.02,0.14,32,580,16596,456,738,-7,88,2.001568608
19299,76,26.37,0.23,96,56,14436,513,823,-79,89.78,0.222260152
19446,77,26.72,0.13,148,-320,15504,556,744,-42,91.18,-1.182407545
19539,78,27.07,0.21,316,708,15608,512,757,29,87.4,2.597233664
19705,79,27.41,0.12,-140,580,15844,598,790,-25,87.9,2.096485728
19810,80,27.76,0.19,88,572,15508,543,829,2,87.89,2.112350785
19980,81,28.11,0.12,160,448,15744,613,746,-6,88.37,1.629927885
20089,82,28.45,0.18,68,404,15716,449,879,-40,88.53,1.472537428
20276,83,28.8,0.11,-28,508,15244,479,788,-2,88.09,1.908651845
20383,84,29.15,0.18,168,252,15336,417,795,-43,89.06,0.941395223
20550,85,29.5,0.12,0,156,15144,452,809,-65,89.41,0.590189215
20714,86,29.84,0.12,-312,176,16616,603,776,-16,89.39,0.606865677
20798,87,30.19,0.23,92,972,15012,298,889,-19,86.3,3.704627442
20891,88,30.54,0.21,112,168,16256,588,772,3,89.41,0.5921105
21049,89,30.88,0.12,-12,604,15524,451,808,-28,87.77,2.228111584
21139,90,31.23,0.22,-80,488,16260,496,749,-19,88.28,1.719062113
21288,91,31.58,0.13,-8,332,15396,688,790,-26,88.76,1.235337174
21371,92,31.92,0.24,-292,-396,16596,834,797,9,91.37,-1.366885038
21518,93,32.27,0.13,-52,976,15940,432,745,29,86.5,3.503823975
21601,94,32.62,0.24,-60,136,15836,539,776,-29,89.51,0.492045621
21751,95,32.97,0.13,320,468,15924,695,756,5,88.32,1.683415505
21839,96,33.31,0.23,164,796,16064,669,754,-2,87.16,2.836788317
21991,97,33.66,0.13,60,940,15356,524,770,-20,86.5,3.502924749
22079,98,34.01,0.23,-124,740,15344,536,737,24,87.24,2.761082583
22234,99,34.35,0.13,16,500,15932,523,837,-25,88.2,1.797545195
22326,100,34.7,0.22,-228,216,15984,530,661,-18,89.23,0.774220165
22461,101,35.05,0.15,92,412,15812,725,799,-8,88.51,1.492570272
22544,102,35.39,0.24,128,272,15888,568,811,1,89.02,0.9807987
22682,103,35.74,0.14,276,952,15344,615,760,-12,86.45,3.550296758
22763,104,36.09,0.24,332,1088,16152,446,845,4,86.15,3.853626827
22924,105,36.44,0.12,-160,1236,16132,597,691,-28,85.62,4.381322587
23015,106,36.78,0.22,-308,760,16280,296,660,-14,87.33,2.672801059
23168,107,37.13,0.13,-88,868,17112,756,636,-4,87.1,2.903818865
23265,108,37.48,0.2,40,788,14964,548,786,-39,86.99,3.01439522
23422,109,37.82,0.12,148,696,15640,185,845,-29,87.45,2.548054319
23542,110,38.17,0.17,96,300,13848,678,762,50,88.76,1.241048932
23713,111,38.52,0.11,-140,1368,16204,274,812,-31,85.17,4.825672886
23819,112,38.86,0.19,-68,664,15964,714,639,45,87.62,2.381764036
23970,113,39.21,0.13,-76,100,14596,362,867,-42,89.61,0.392538251
24066,114,39.56,0.21,-500,800,14396,473,724,-37,86.82,3.180711838
24209,115,39.9,0.14,-28,1168,16668,583,842,-16,85.99,4.008414599
24292,116,40.25,0.24,112,608,15676,434,742,-70,87.78,2.221126675
24426,117,40.6,0.15,-80,1012,16604,618,793,37,86.51,3.487815564
24505,118,40.95,0.25,-48,700,16808,618,761,6,87.62,2.384809719
24636,119,41.29,0.15,4,356,13852,399,848,-44,88.53,1.472192352
24717,120,41.64,0.24,-160,160,16528,539,757,44,89.45,0.554636881
24840,121,41.99,0.16,-344,664,16324,255,712,-6,87.67,2.329296504
24919,122,42.33,0.25,360,932,13636,598,1014,5,86.09,3.909998998
25027,123,42.68,0.18,-120,1144,17148,359,811,-43,86.18,3.816736
25093,124,43.03,0.3,116,1928,17568,60,755,66,83.74,6.262861823
25200,125,43.38,0.18,160,568,13652,670,953,8,87.62,2.382452684
25264,126,43.72,0.31,100,20,16132,786,770,33,89.93,0.07103366
25385,127,44.07,0.16,-220,24,15004,700,750,-33,89.91,0.091648729
25461,128,44.42,0.26,-40,-440,15216,308,809,-34,91.66,-1.656356447
25584,129,44.76,0.16,20,-336,16516,311,831,4,91.17,-1.165459354
25660,130,45.11,0.26,-152,196,16128,388,768,-22,89.3,0.6962686
25801,131,45.46,0.14,276,668,15292,509,923,30,87.5,2.501259742
25887,132,45.8,0.23,-536,-528,15760,525,798,-10,91.92,-1.918836336
26033,133,46.15,0.14,80,904,15720,521,741,-21,86.71,3.291246962
26116,134,46.5,0.24,-488,344,15292,402,770,-22,88.71,1.288675418
26256,135,46.85,0.14,-268,540,15540,502,859,24,88.01,1.99017225
26335,136,47.19,0.25,-224,392,14824,537,796,11,88.49,1.514753954
26463,137,47.54,0.15,-348,612,15688,520,857,21,87.77,2.234016163
26536,138,47.89,0.27,-68,888,16020,37,745,-31,86.83,3.172699049
26655,139,48.23,0.17,24,528,14088,336,878,39,87.85,2.146367043
26724,140,48.58,0.29,116,-520,10784,631,1214,12,92.76,-2.760640396
26835,141,48.93,0.18,236,556,16168,628,724,35,88.03,1.969563615
26902,142,49.27,0.3,-260,76,15448,530,761,-9,89.72,0.281877532
27011,143,49.62,0.18,20,328,16572,97,816,-36,88.87,1.133874141
27070,144,49.97,0.33,-492,1096,15280,688,690,14,85.9,4.102670998
27171,145,50.31,0.19,144,56,15820,723,894,-18,89.8,0.202816072
27231,146,50.66,0.33,-28,-80,14404,344,1021,13,90.32,-0.318218219
27333,147,51.01,0.19,-224,1000,16100,783,825,14,86.45,3.554178236
27397,148,51.36,0.31,-320,596,16992,817,792,62,87.99,2.008844806
27494,149,51.7,0.2,-248,-364,14396,808,888,67,91.45,-1.44840379
27564,150,52.05,0.29,-48,496,16652,598,704,21,88.29,1.70611978
27668,151,52.4,0.19,504,1372,15496,830,933,10,84.94,5.059715984
27740,152,52.74,0.27,-248,-1128,17716,417,781,-15,93.64,-3.643176468
27858,153,53.09,0.17,40,136,16144,557,863,6,89.52,0.482658678
27938,154,53.44,0.24,56,1220,16176,427,866,-11,85.69,4.313103615
28070,155,53.79,0.15,-212,844,15596,464,828,-15,86.9,3.097622091
28164,156,54.13,0.21,-32,1424,14660,215,882,2,84.45,5.548023805
28299,157,54.48,0.15,92,8,15760,183,880,-29,89.97,0.02908415
28388,158,54.83,0.22,-32,520,16340,570,776,24,88.18,1.822751136
28549,159,55.17,0.12,-448,408,15288,371,854,-59,88.47,1.528723873
28651,160,55.52,0.19,-360,652,15468,376,889,16,87.59,2.41367644
28816,161,55.87,0.12,-152,292,15372,513,812,21,88.91,1.088235478
28916,162,56.21,0.2,-4,-68,16360,487,806,11,90.24,-0.238147345
29072,163,56.56,0.13,-472,140,15136,467,810,-4,89.47,0.529940565
29168,164,56.91,0.21,-64,768,15448,416,867,25,87.15,2.846126335
29318,165,57.26,0.13,24,892,16312,620,778,35,86.87,3.130025986
29401,166,57.6,0.24,-536,756,16280,454,818,-2,87.34,2.658753924
29540,167,57.95,0.14,-200,416,16140,472,786,-22,88.52,1.476441656
29622,168,58.3,0.24,-400,684,15412,648,854,-28,87.46,2.541176541
29752,169,58.64,0.15,-304,300,15920,529,861,7,88.92,1.079566563
29824,170,58.99,0.27,-16,576,16392,467,794,24,87.99,2.012493641
29943,171,59.34,0.16,112,664,14392,493,839,-3,87.36,2.641567417
30011,172,59.68,0.29,160,360,16288,568,799,2,88.73,1.266154402
30129,173,60.03,0.17,-184,396,14372,374,952,26,88.42,1.578304303
30198,174,60.38,0.29,-440,84,15648,626,812,-10,89.69,0.307566414
30320,175,60.73,0.16,200,1928,17116,859,828,56,83.57,6.426885471
30390,176,61.07,0.28,-268,328,16584,811,634,24,88.87,1.133053896
30518,177,61.42,0.16,-56,968,15212,557,875,27,86.36,3.641048847
30603,178,61.77,0.23,-92,704,16536,617,819,13,87.56,2.437825658
30764,179,62.11,0.12,-232,832,15696,538,839,9,86.97,3.034245449
30867,180,62.46,0.19,-372,368,16312,663,796,-11,88.71,1.292378057
31051,181,62.81,0.11,-116,716,15744,623,807,-4,87.4,2.603882823
31173,182,63.15,0.16,-84,484,15604,704,812,9,88.22,1.776612988
31370,183,63.5,0.1,-232,552,15404,567,867,-7,87.95,2.052307375
31470,184,63.85,0.2,-160,608,15348,532,836,-44,87.73,2.268544993
31639,185,64.19,0.12,-624,24,15740,466,751,-15,89.91,0.087363256
31732,186,64.54,0.21,-144,396,15460,388,762,37,88.53,1.467281275
31904,187,64.89,0.11,-520,500,15276,550,878,16,88.13,1.874683552
32012,188,65.24,0.18,-556,504,16312,579,799,3,88.23,1.769733259
32155,189,65.58,0.14,-288,624,15888,466,850,3,87.75,2.249131445
32262,190,65.93,0.18,-248,920,14976,413,840,-12,86.48,3.515355087
32427,191,66.28,0.12,-220,536,15772,588,762,-4,88.05,1.94640649
32552,192,66.62,0.16,76,552,15488,432,807,-42,87.96,2.041186017
32751,193,66.97,0.1,-444,656,15700,287,756,-33,87.61,2.392622992
32874,194,67.32,0.16,-372,912,15568,469,835,7,86.65,3.352652788
33048,195,67.66,0.11,-12,608,15876,505,800,15,87.81,2.193173237
33144,196,68.01,0.2,-344,852,16024,685,771,-3,86.96,3.043564644
33291,197,68.36,0.13,-620,632,15704,532,764,-33,87.7,2.304597701
33373,198,68.71,0.24,104,4124,17996,734,786,-5,77.09,12.90715659
33499,199,69.05,0.16,-672,632,15752,597,725,11,87.7,2.297582594
33577,200,69.4,0.25,-176,532,15212,612,782,-31,88,2.002954042
33710,201,69.75,0.15,-160,616,15380,308,861,-22,87.71,2.29358555
33795,202,70.09,0.23,-8,-304,14700,569,848,-7,91.18,-1.184723439
33931,203,70.44,0.14,-420,612,16420,493,805,-10,87.87,2.13451848
34012,204,70.79,0.24,-132,-96,13796,193,800,-33,90.4,-0.398688465
34148,205,71.13,0.15,-384,284,15732,364,876,-58,88.97,1.034212694
34227,206,71.48,0.25,-64,1184,14032,393,817,-8,85.18,4.823110774
34368,207,71.83,0.14,-132,860,14624,495,854,-21,86.63,3.365541976
34448,208,72.18,0.24,-140,816,15304,461,847,17,86.95,3.052086093
34583,209,72.52,0.15,-256,296,16356,649,803,-16,88.96,1.036787699
34658,210,72.87,0.26,-604,1220,15952,379,796,-24,85.63,4.373435401
34795,211,73.22,0.14,-340,600,15464,728,729,29,87.78,2.221949844
34872,212,73.56,0.25,-324,204,15792,666,799,26,89.26,0.740101883
35011,213,73.91,0.14,-480,640,16168,445,801,-30,87.73,2.266833513
35099,214,74.26,0.22,-356,856,16104,472,788,-4,86.96,3.042664844
35253,215,74.61,0.13,-196,1260,16112,515,772,38,85.53,4.471577185
35338,216,74.95,0.23,-228,524,15868,667,841,-37,88.11,1.891358863
35480,217,75.3,0.14,-8,728,16352,754,808,17,87.45,2.549156178
35559,218,75.65,0.25,-344,1108,13768,410,831,-10,85.4,4.601046182
35690,219,75.99,0.15,-200,960,15008,223,882,18,86.34,3.659988891
35763,220,76.34,0.27,-108,1556,16208,786,738,1,84.52,5.483702532
35883,221,76.69,0.16,-180,624,16924,460,830,-29,87.89,2.111579907
35956,222,77.03,0.27,-488,-272,15656,628,820,-4,91,-0.995329861
36072,223,77.38,0.17,56,504,14132,569,952,-2,87.96,2.042516223
36141,224,77.73,0.29,-556,852,15708,418,796,-33,86.9,3.104673849
36258,225,78.07,0.17,-472,828,15604,346,796,-48,86.96,3.037455384
36327,226,78.42,0.29,-376,352,16116,564,817,-30,88.75,1.251235306
36447,227,78.77,0.16,-388,844,16888,773,724,16,87.14,2.861051532
36521,228,79.12,0.27,-340,592,15496,564,825,-12,87.81,2.187830037
36634,229,79.46,0.17,-660,964,16432,548,810,-6,86.64,3.357466934
36713,230,79.81,0.25,-196,864,16344,378,778,48,86.97,3.026035083
36828,231,80.16,0.17,-224,516,17124,673,583,11,88.27,1.725979842
36909,232,80.5,0.24,-140,576,15896,463,806,44,87.92,2.075235039
37030,233,80.85,0.16,-396,1168,16016,789,826,-10,85.83,4.171029606
37108,234,81.2,0.25,-368,576,15784,778,771,13,87.91,2.089947465
37227,235,81.54,0.17,-200,-72,16472,925,678,-14,90.25,-0.250441346
37299,236,81.89,0.27,-348,632,15452,438,737,-26,87.66,2.342140869
37413,237,82.24,0.17,-728,480,16788,547,642,-14,88.36,1.637746224
37481,238,82.59,0.29,-352,68,15076,610,786,-17,89.74,0.258429728
37592,239,82.93,0.18,-692,996,15784,492,848,-40,86.39,3.610683817
37658,240,83.28,0.3,-452,828,15136,525,860,-46,86.87,3.131188389
37763,241,83.63,0.19,-276,620,15116,695,869,-27,87.65,2.348735298
37827,242,83.97,0.3,92,1340,14144,435,971,-37,84.59,5.412038199
37928,243,84.32,0.19,-136,1680,16524,475,845,-54,84.19,5.805330861
37991,244,84.67,0.31,-544,1252,16776,736,724,0,85.73,4.268096072
38094,245,85.01,0.19,-628,788,15056,619,806,-2,87,2.996009356
38154,246,85.36,0.33,-488,1080,15048,524,874,6,85.89,4.105098513
38260,247,85.71,0.19,-176,824,16400,505,845,21,87.12,2.876344787
38323,248,86.06,0.31,-408,612,15988,638,749,-18,87.81,2.192138207
38434,249,86.4,0.18,132,644,14828,541,829,-26,87.51,2.48686997
38501,250,86.75,0.29,-724,704,15856,590,724,40,87.46,2.542239835
38623,251,87.1,0.16,-156,616,15688,564,865,-8,87.75,2.248602636
38692,252,87.44,0.28,-456,560,16512,622,760,-44,88.06,1.942426313
38822,253,87.79,0.15,-88,404,14972,393,867,-27,88.45,1.545677219
38904,254,88.14,0.24,-560,320,16332,660,716,-16,88.88,1.122477574
39047,255,88.48,0.14,-528,84,16688,715,693,-19,89.71,0.288399139
39122,256,88.83,0.26,-80,544,15640,831,802,39,88.01,1.992093573
39246,257,89.18,0.16,-560,720,15124,529,751,-34,87.27,2.725591026
39317,258,89.53,0.28,-612,208,16048,444,784,-13,89.26,0.742575702
39436,259,89.87,0.17,-464,136,15024,441,866,-28,89.48,0.518637725
39503,260,90.22,0.29,-212,228,15676,584,797,-1,89.17,0.833281238
39613,261,90.57,0.18,-236,484,16244,522,796,39,88.29,1.706658168
39681,262,90.91,0.29,-368,196,15528,493,838,-26,89.28,0.723169529
39791,263,91.26,0.18,-444,640,15304,609,723,-19,87.61,2.39466447
39855,264,91.61,0.31,108,600,15356,538,871,-19,87.76,2.23756117
39969,265,91.95,0.17,-312,668,15432,467,702,-7,87.52,2.478596597
40041,266,92.3,0.28,-556,1276,15976,545,755,-21,85.43,4.566508981
40164,267,92.65,0.16,-468,612,15896,522,726,-26,87.8,2.204812984
40242,268,93,0.25,-396,764,16016,581,804,-38,87.27,2.731070062
40357,269,93.34,0.17,-332,424,15344,524,811,-41,88.42,1.582848672
40439,270,93.69,0.24,-376,1184,15940,439,755,-35,85.75,4.248045988
40559,271,94.04,0.16,-312,692,15720,480,776,-55,87.48,2.520553363
40644,272,94.38,0.23,-364,268,16060,572,772,-48,89.04,0.956030126
40773,273,94.73,0.15,-168,560,15224,552,804,0,87.89,2.106619611
40857,274,95.08,0.24,-388,812,15488,611,762,6,87,3.001137443
40989,275,95.43,0.15,44,1356,16064,524,824,40,85.17,4.825032954
41071,276,95.77,0.24,-396,952,15496,622,755,-31,86.48,3.515559729
41210,277,96.12,0.14,-592,716,16420,460,826,-22,87.5,2.496821347
41294,278,96.47,0.24,-452,360,15552,566,787,-21,88.67,1.326054377
41430,279,96.81,0.15,-324,628,16052,462,817,-9,87.76,2.24043163
41513,280,97.16,0.23,-348,476,15352,474,788,10,88.22,1.775928639
41646,281,97.51,0.15,-340,372,15620,601,797,-8,88.64,1.364276677
41726,282,97.85,0.25,-372,532,15096,591,821,20,87.98,2.01833237
41850,283,98.2,0.16,-80,592,17008,552,745,6,88.01,1.993497962
41926,284,98.55,0.26,-344,680,15900,503,878,6,87.55,2.448893224
42046,285,98.9,0.16,-28,1088,15456,560,760,4,85.97,4.026601136
42117,286,99.24,0.28,-416,708,15068,453,796,-29,87.31,2.690177744
42243,287,99.59,0.16,-92,684,15940,598,775,-14,87.54,2.457106989
42317,288,99.94,0.26,-112,768,15372,307,842,19,87.14,2.86017443
42447,289,100.28,0.15,-292,416,16164,628,789,-34,88.53,1.474250431
42534,290,100.63,0.23,-160,476,15944,671,724,-39,88.29,1.710028394
42686,291,100.98,0.13,-176,520,15708,628,814,-33,88.1,1.896035712
42777,292,101.32,0.22,-476,344,15944,560,743,-11,88.76,1.235994148
42938,293,101.67,0.12,-508,448,16488,386,828,-3,88.44,1.556416496
43031,294,102.02,0.21,-268,704,15652,590,813,-1,87.42,2.575329739
43191,295,102.36,0.12,-408,1144,15924,410,816,-26,85.89,4.109140572
43289,296,102.71,0.2,-104,28,15412,406,763,40,89.9,0.104092919
43460,297,103.06,0.11,-544,448,16392,610,746,-12,88.43,1.56552715
43560,298,103.41,0.2,-388,708,15488,572,806,0,87.38,2.617328983
43716,299,103.75,0.13,-564,-720,16304,450,677,54,92.53,-2.528592711
43801,300,104.1,0.23,-564,492,16532,529,772,-14,88.3,1.704645874
43939,301,104.45,0.14,-436,824,16916,660,760,-15,87.21,2.788746408
44020,302,104.79,0.24,-488,508,15696,600,805,-12,88.15,1.853727035
44147,303,105.14,0.16,-652,684,15840,662,732,19,87.53,2.472599837
44219,304,105.49,0.27,-328,4,16432,476,656,81,89.99,0.013947366
44337,305,105.83,0.17,-280,400,15120,577,868,-16,88.48,1.5154079
44403,306,106.18,0.29,-84,680,16204,480,755,-13,87.6,2.403004399
44516,307,106.53,0.18,-108,752,16000,594,759,-15,87.31,2.690921388
44584,308,106.88,0.29,-420,836,14924,554,800,-32,86.79,3.206195685
44685,309,107.22,0.2,-656,684,16340,591,745,-3,87.6,2.39702853
44754,310,107.57,0.28,-360,356,15436,607,742,-24,88.68,1.321176614
44855,311,107.92,0.2,-504,548,16024,670,736,-25,88.04,1.958677933
44924,312,108.26,0.28,160,164,15004,544,722,44,89.37,0.626241912
45031,313,108.61,0.19,-56,1784,16120,762,790,13,83.68,6.315223546
45102,314,108.96,0.28,-304,792,15556,550,782,-40,87.09,2.914573776
45213,315,109.3,0.18,-188,628,15392,342,928,-21,87.66,2.336395757
45283,316,109.65,0.28,-60,796,15624,375,826,18,87.08,2.916541342
45395,317,110,0.17,-512,196,16236,465,866,-8,89.31,0.691637553
45463,318,110.35,0.29,-532,364,16984,450,759,-28,88.77,1.227771516
45576,319,110.69,0.18,92,488,15756,679,679,23,88.23,1.774016559
45645,320,111.04,0.28,-276,796,14876,442,805,-8,86.94,3.062919277
45764,321,111.39,0.17,332,712,14780,537,821,-23,87.24,2.757989318
45845,322,111.73,0.24,-200,-112,16144,513,686,-32,90.4,-0.397486643
45992,323,112.08,0.13,-120,236,15848,530,774,-23,89.15,0.853155262
46104,324,112.43,0.18,-32,508,15684,473,796,-20,88.14,1.855144352
46338,325,112.77,0.08,-144,700,15512,480,767,1,87.42,2.583796698
46493,326,113.12,0.13,-316,588,15376,418,817,-43,87.81,2.190004551
46741,327,113.47,0.08,-256,676,15736,620,786,1,87.54,2.459846671
46877,328,113.82,0.15,-192,844,15864,602,794,25,86.95,3.045391464
47085,329,114.16,0.09,-52,876,15840,489,764,1,86.83,3.165405806
47201,330,114.51,0.17,-108,276,14996,473,766,-5,88.95,1.054404504
47397,331,114.86,0.1,-344,668,15948,581,766,-7,87.6,2.398496441
47508,332,115.2,0.18,0,800,15740,599,794,2,87.09,2.909607062
47703,333,115.55,0.1,-188,972,16260,380,765,10,86.58,3.420990287
47817,334,115.9,0.17,-224,268,15448,379,746,16,89.01,0.993897507
48023,335,116.25,0.1,-272,624,15768,557,789,-2,87.73,2.266230343
48139,336,116.59,0.17,248,-1468,14544,-688,697,-95,95.76,-5.763634659
48339,337,116.94,0.1,-8,532,15200,571,825,-12,88,2.004534032
48464,338,117.29,0.16,332,792,13208,466,922,-2,86.57,3.431555606
48712,339,117.63,0.08,-288,436,16308,652,743,-6,88.47,1.531457595
48869,340,117.98,0.13,-144,772,15644,553,806,19,87.17,2.825139921
49154,341,118.33,0.07,-176,476,15928,610,780,-8,88.29,1.711745131
49341,342,118.67,0.11,-124,544,16292,597,792,30,88.09,1.912431135
